,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
484,2870000,3040,2,1,1,no,no,no,no,no,0,no,unfurnished
501,2660000,2430,3,1,1,no,no,no,no,no,0,no,unfurnished
249,4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
281,4270000,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
92,6405000,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
199,4907000,4200,3,1,2,yes,no,no,no,no,1,no,furnished
106,6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
29,8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
334,3920000,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
293,4200000,4410,2,1,1,no,no,no,no,no,1,no,unfurnished
17,8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
540,1820000,3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished
343,3850000,4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished
63,7035000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
534,2100000,3000,4,1,2,yes,no,no,no,no,0,no,unfurnished
124,5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished
512,2520000,3000,2,1,2,yes,no,no,no,no,0,no,furnished
20,8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
187,5110000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
207,4900000,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
325,4007500,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
514,2485000,3000,3,1,2,no,no,no,no,no,0,no,semi-furnished
392,3500000,3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished
269,4375000,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished
104,6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
287,4200000,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
378,3640000,2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished
311,4123000,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
318,4060000,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished
36,8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
507,2590000,3600,2,1,1,yes,no,no,no,no,0,no,unfurnished
19,8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
414,3423000,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished
385,3570000,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
429,3325000,4775,4,1,2,yes,no,no,no,no,0,no,unfurnished
120,5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
445,3150000,3450,1,1,1,yes,no,no,no,no,0,no,furnished
459,3115000,3500,2,1,1,yes,no,no,no,no,0,no,unfurnished
275,4319000,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
132,5810000,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
202,4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
448,3150000,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished
189,5040000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
198,4935000,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
247,4550000,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
5,10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
148,5600000,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
427,3332000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
423,3360000,3750,3,1,1,yes,no,no,no,no,0,no,unfurnished
486,2870000,6000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
204,4900000,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
434,3290000,3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished
21,8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
530,2240000,1950,3,1,1,no,no,no,yes,no,0,no,unfurnished
127,5880000,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
49,7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
358,3745000,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
410,3430000,3850,3,1,1,yes,no,no,no,no,0,no,unfurnished
408,3430000,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
532,2135000,3000,2,1,1,no,no,no,no,no,0,no,unfurnished
294,4200000,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
251,4515000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
317,4060000,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished
404,3493000,4900,3,1,2,no,no,no,no,no,0,no,unfurnished
447,3150000,3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished
117,5950000,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
270,4340000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
376,3640000,4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished
0,13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
442,3220000,2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished
466,3010000,3090,3,1,2,no,no,no,no,no,0,no,semi-furnished
300,4200000,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
55,7350000,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
462,3080000,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished
542,1750000,3620,2,1,1,yes,no,no,no,no,0,no,unfurnished
438,3255000,4500,2,1,1,no,no,no,no,no,0,no,semi-furnished
83,6580000,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
331,3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
205,4900000,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
319,4060000,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
476,2940000,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished
492,2800000,2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished
301,4200000,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
186,5110000,11410,2,1,2,yes,no,no,no,no,0,yes,furnished
86,6510000,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
46,7525000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
379,3633000,3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished
162,5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
298,4200000,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
221,4767000,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
475,2961000,3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished
141,5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
386,3535000,3850,3,1,1,yes,no,no,no,no,2,no,unfurnished
258,4480000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
137,5740000,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished
411,3430000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
330,3990000,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
158,5495000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
196,4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
180,5215000,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
9,9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
259,4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
32,8295000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
457,3115000,3000,3,1,1,no,no,no,no,yes,0,no,unfurnished
263,4410000,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
544,1750000,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
103,6195000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
347,3836000,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished
39,7910000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
28,8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
350,3780000,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
215,4830000,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
474,2975000,4352,4,1,2,no,no,no,no,no,1,no,unfurnished
169,5250000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
516,2450000,3240,2,1,1,no,yes,no,no,no,1,no,unfurnished
388,3500000,3650,3,1,2,yes,no,no,no,no,0,no,unfurnished
206,4900000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
153,5530000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
539,1855000,2990,2,1,1,no,no,no,no,no,1,no,unfurnished
30,8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
365,3703000,5450,2,1,1,yes,no,no,no,no,0,no,furnished
255,4480000,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
328,3990000,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
213,4893000,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
136,5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
473,3003000,8050,2,1,1,yes,no,no,no,no,0,no,unfurnished
346,3850000,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
444,3220000,3120,3,1,2,no,no,no,no,no,0,no,furnished
405,3465000,3060,3,1,1,yes,no,no,no,no,0,no,unfurnished
168,5250000,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
535,2100000,3360,2,1,1,yes,no,no,no,no,1,no,unfurnished
229,4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
224,4760000,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
171,5250000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
396,3500000,3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished
267,4403000,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
115,6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
446,3150000,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished
373,3640000,3000,2,1,2,yes,no,no,no,yes,0,no,furnished
48,7455000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
522,2380000,2475,3,1,2,yes,no,no,no,no,0,no,furnished
503,2660000,4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
460,3087000,8100,2,1,1,yes,no,no,no,no,1,no,unfurnished
452,3150000,9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished
82,6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
355,3773000,8250,3,1,1,yes,no,no,no,no,2,no,furnished
95,6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
67,6895000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
322,4025000,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
96,6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
22,8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
254,4480000,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
380,3605000,4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished
244,4550000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
439,3255000,3930,2,1,1,no,no,no,no,no,0,no,unfurnished
357,3773000,6930,4,1,2,no,no,no,no,no,1,no,furnished
159,5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
437,3290000,5880,3,1,1,yes,no,no,no,no,1,no,unfurnished
144,5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
401,3500000,9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished
209,4900000,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished
286,4235000,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
454,3143000,4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
90,6440000,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
41,7840000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
233,4620000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
337,3920000,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
416,3395000,3450,3,1,1,yes,no,yes,no,no,2,no,unfurnished
440,3234000,3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished
458,3115000,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
366,3675000,3630,2,1,1,yes,no,yes,no,no,0,no,furnished
515,2450000,3210,3,1,2,yes,no,yes,no,no,0,no,unfurnished
53,7350000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
178,5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
273,4340000,3500,4,1,2,yes,no,no,no,no,2,no,furnished
243,4550000,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
450,3150000,3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
51,7420000,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
14,9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
455,3129000,5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished
338,3885000,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
340,3850000,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
272,4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
285,4235000,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
3,12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
23,8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
402,3500000,5880,2,1,1,yes,no,no,no,no,0,no,unfurnished
128,5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
165,5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
201,4900000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
424,3360000,3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished
45,7560000,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
470,3010000,5076,3,1,1,no,no,no,no,no,0,no,unfurnished
353,3780000,2856,3,1,3,yes,no,no,no,no,0,yes,furnished
235,4620000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
508,2590000,4400,2,1,1,yes,no,no,no,no,0,no,unfurnished
237,4620000,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
42,7700000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
232,4655000,3745,3,1,2,yes,no,yes,no,no,0,no,furnished
469,3010000,4600,2,1,1,yes,no,no,no,no,0,no,furnished
79,6650000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
185,5110000,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
62,7070000,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
220,4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
268,4382000,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
112,6083000,4300,6,2,2,yes,no,no,no,no,0,no,furnished
11,9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
150,5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
234,4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
85,6510000,8250,3,2,3,yes,no,no,no,yes,0,no,furnished
246,4550000,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
134,5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
143,5600000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
471,3010000,3750,3,1,2,yes,no,no,no,no,0,no,unfurnished
461,3080000,4960,2,1,1,yes,no,yes,no,yes,0,no,unfurnished
271,4340000,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished
360,3710000,4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished
290,4200000,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
182,5145000,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished
364,3703000,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished
306,4165000,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
477,2940000,4960,2,1,1,yes,no,no,no,no,0,no,unfurnished
488,2852500,5200,4,1,3,yes,no,no,no,no,0,no,unfurnished
489,2835000,3300,3,1,2,no,no,no,no,no,1,no,semi-furnished
4,11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
133,5810000,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
44,7560000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
472,3010000,3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished
352,3780000,5830,2,1,1,yes,no,no,no,no,2,no,unfurnished
250,4515000,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
468,3010000,2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished
289,4200000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
284,4270000,7770,2,1,1,yes,no,no,no,no,1,no,furnished
203,4900000,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
135,5775000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
430,3290000,2500,2,1,1,no,no,no,no,yes,0,no,unfurnished
145,5600000,5000,3,1,4,yes,no,no,no,no,0,no,furnished
498,2660000,2000,2,1,2,yes,no,no,no,no,0,no,semi-furnished
523,2380000,2787,4,2,2,yes,no,no,no,no,0,no,furnished
71,6755000,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
118,5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
464,3080000,4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
505,2653000,4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished
15,9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
393,3500000,7424,3,1,1,no,no,no,no,no,0,no,unfurnished
216,4830000,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
74,6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
538,1890000,3649,2,1,1,yes,no,no,no,no,0,no,unfurnished
525,2345000,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
248,4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
94,6300000,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
407,3465000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
406,3465000,5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished
518,2450000,3500,2,1,1,yes,yes,no,no,no,0,no,unfurnished
93,6300000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
18,8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
283,4270000,4360,4,1,2,yes,no,no,no,no,0,no,furnished
292,4200000,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
313,4095000,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
31,8400000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
321,4025000,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
140,5740000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
89,6440000,8580,5,3,2,yes,no,no,no,no,2,no,furnished
342,3850000,7152,3,1,2,yes,no,no,no,yes,0,no,furnished
382,3570000,3150,3,1,2,yes,no,yes,no,no,0,no,furnished
409,3430000,3185,2,1,1,yes,no,no,no,no,2,no,unfurnished
13,9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
453,3150000,3069,2,1,1,yes,no,no,no,no,1,no,unfurnished
77,6650000,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished
524,2380000,3264,2,1,1,yes,no,no,no,no,0,no,unfurnished
200,4900000,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
122,5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
363,3710000,3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished
344,3850000,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished
54,7350000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
395,3500000,3600,6,1,2,yes,no,no,no,no,1,no,unfurnished
239,4585000,4000,3,1,2,yes,no,no,no,no,1,no,furnished
356,3773000,2520,5,2,1,no,no,yes,no,yes,1,no,furnished
528,2275000,3970,1,1,1,no,no,no,no,no,0,no,unfurnished
371,3640000,3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
420,3360000,4120,2,1,2,yes,no,no,no,no,0,no,unfurnished
502,2660000,3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished
40,7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
490,2835000,4350,3,1,2,no,no,no,yes,no,1,no,unfurnished
256,4480000,4000,3,1,2,yes,no,no,no,no,2,no,furnished
73,6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
8,9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
496,2695000,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
156,5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
123,5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished
369,3675000,3600,2,1,1,yes,no,no,no,no,0,no,furnished
320,4060000,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
527,2275000,1836,2,1,1,no,no,yes,no,no,0,no,semi-furnished
125,5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
265,4403000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
